WebSocket transport not available. Install eventlet or gevent and gevent-websocket for improved performance.
 * Running on http://127.0.0.1:5001/ (Press CTRL+C to quit)
127.0.0.1 - - [15/Jul/2026 20:48:04] "GET /socket.io/?EIO=4&transport=polling&t=PzbqUns HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:48:10] "GET /socket.io/?EIO=4&transport=polling&t=PzbqWFY HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:48:16] "GET /socket.io/?EIO=4&transport=polling&t=PzbqXjF HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:48:22] "GET /socket.io/?EIO=4&transport=polling&t=PzbqZAz HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:48:28] "GET /socket.io/?EIO=4&transport=polling&t=Pzbqaeq HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:48:34] "GET /socket.io/?EIO=4&transport=polling&t=Pzbqc6a HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:48:40] "GET /socket.io/?EIO=4&transport=polling&t=PzbqdaQ HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:48:46] "GET /socket.io/?EIO=4&transport=polling&t=Pzbqf20 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:48:52] "GET /socket.io/?EIO=4&transport=polling&t=PzbqgVk HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:48:58] "GET /socket.io/?EIO=4&transport=polling&t=Pzbqhzg HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:49:03] "GET /socket.io/?EIO=4&transport=polling&t=PzbqjC5 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:49:06] "POST /api/simulation/step HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:49:06] "GET /api/simulation/state HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:49:06] "GET /api/simulation/metrics HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:49:07] "POST /api/simulation/step HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:49:07] "GET /api/simulation/state HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:49:07] "GET /api/simulation/metrics HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:49:08] "GET /socket.io/?EIO=4&transport=polling&t=PzbqkQr HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:49:13] "GET /socket.io/?EIO=4&transport=polling&t=PzbqlfB HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:49:13] "POST /api/simulation/step HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:49:13] "GET /api/simulation/state HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:49:13] "GET /api/simulation/metrics HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:49:19] "GET /socket.io/?EIO=4&transport=polling&t=Pzbqn5g HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:49:24] "GET /socket.io/?EIO=4&transport=polling&t=PzbqoK9 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:49:29] "GET /socket.io/?EIO=4&transport=polling&t=PzbqpYs HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:49:35] "GET /socket.io/?EIO=4&transport=polling&t=Pzbqq_i HTTP/1.1" 200 -
